States,Year,"Agriculture, Forestry and Fishing",Mining and Quarrying,Manufacturing,"Electricity, Gas, Water supply & Other utility Services",Construction,"Trade, Repair, Hotels and Restaurants","Transport, Storage, Communication & Services related to Broadcasting",Financial Services,"Real Estate, Ownership of Dwelling & Professional Services",Public Administration,Other Services,TOTAL NSVA at basic prices
ANDAMAN & NICOBAR,2017-18,912,44,63,172,917,691,783,182,530,1174,1261,6728
ANDAMAN & NICOBAR,2018-19,976,47,57,196,960,871,802,209,609,1326,1343,7396
ANDAMAN & NICOBAR,2019-20,980,43,44,223,1035,858,873,233,664,1547,1469,7967
CHANDIGARH,2017-18,174,3,1018,392,1491,11555,1291,3702,6289,2163,2174,30251
CHANDIGARH,2018-19,202,0,1320,491,1703,12721,1229,4762,6281,2212,2381,33302
CHANDIGARH,2019-20,242,1,1286,877,1638,13575,1424,5146,7247,2564,2676,36674
CHANDIGARH,2020-21,267,1,1161,867,1519,11337,1180,5261,7488,2649,2814,34544
DELHI,2017-18,2779,5840,27106,14848,27454,71069,65771,79963,149956,28188,49657,522631
DELHI,2018-19,2957,8795,28131,15180,31241,81272,63296,90831,165697,29690,58166,575258
DELHI,2019-20,3069,8730,29417,15311,30911,86717,71196,97481,182358,33411,67482,626081
DELHI,2020-21,2685,8314,30045,16784,30004,66068,64111,103227,188989,36830,65840,612895
PUDUCHERRY,2017-18,1108,570,7406,221,3700,2666,881,992,2885,923,3944,25297
PUDUCHERRY,2018-19,1231,464,10743,301,4182,3096,965,953,3109,1045,4300,30388
PUDUCHERRY,2019-20,1310,447,10381,307,3961,3307,1028,1099,3172,1253,4980,31245
PUDUCHERRY,2020-21,1271,439,10117,312,3988,2862,952,1153,3127,1359,5008,30588
PUDUCHERRY,2021-22,1475,462,11041,277,4231,3006,856,1394,2860,1150,4545,31296
